,id,location,link,Description,price,price/m2,M2 built,rooms,Floor,baths,Terrace,interna-esxternal,Elevator,status,orientation,Air conditioning,kitchen_quality,bathroom_quality,overall_quality,garage
17,25,Comillas,https://www.idealista.com/en/inmueble/97304290/,Flat / apartment for sale in calle Conde de Vistahermosa,169000,2600,65,2,3,1,0,exterior,0,Second hand/good condition,Not defined,Not defined,low,low,low,0
18,31,Comillas,https://www.idealista.com/en/inmueble/97365863/,Flat / apartment for sale in Comillas,175000,2574,68,2,2,1,0,exterior,0,Second hand/good condition,"Orientation South, East",yes,low,low,low,0
19,24,Comillas,https://www.idealista.com/en/inmueble/97594819/,Flat / apartment for sale in calle Fernando Díaz de Mendoza,175500,2831,62,2,2,1,1,exterior,1,Second hand/good condition,Not defined,Not defined,average,average,average,0
20,30,Comillas,https://www.idealista.com/en/inmueble/36216183/,"Duplex for sale in calle Fernando Díaz de Mendoza, 45",190000,3065,62,2,1,2,1,exterior,0,Second hand/good condition,Not defined,Not defined,average,average,average,0
21,14,Comillas,https://www.idealista.com/en/inmueble/95767677/,Flat / apartment for sale in Marqués de jura real,225000,2500,90,3,5,1,1,exterior,1,Second hand/good condition,"Orientation South, East",yes,good,good,good,0
22,5,Comillas,https://www.idealista.com/en/inmueble/97570605/,Flat / apartment for sale in calle de Antonio López,235000,2350,100,3,1,2,0,exterior,0,Second hand/good condition,Not defined,Not defined,average,average,good,0
23,26,Comillas,https://www.idealista.com/en/inmueble/96060507/,Flat / apartment for sale in calle Antonio Vicent,238000,2867,83,3,2,1,1,exterior,0,Second hand/good condition,"Orientation South, West",yes,good,good,good,0
24,3,Comillas,https://www.idealista.com/inmueble/96519390/,Piso en venta en calle de Antonio López,239000,3366,71,3,1,1,1,interior ,1,Second hand/good condition,"Orientation South, West",yes,good,good,good,0
25,29,Comillas,https://www.idealista.com/en/inmueble/97733531/,Flat / apartment for sale in paseo de Santa María de la Cabeza,240000,3429,70,2,2,1,0,exterior,1,Second hand/good condition,Orientation East,yes,average,average,average,0
26,1,Comillas,https://www.idealista.com/inmueble/97033086/,Piso en venta en paseo de Santa María de la Cabeza,258500,2750,94,3,7,1,1,exterior,1,Second hand/good condition,"Orientación este, oeste",yes,average,average,average,0
27,13,Comillas,https://www.idealista.com/en/inmueble/97537015/,Flat / apartment for sale in calle comillas,260000,2889,90,3,2,1,1,exterior,0,Second hand/good condition,"Orientation North, East",Not defined,good,good,good,0
28,37,Comillas,https://www.idealista.com/en/inmueble/97054618/,Flat / apartment for sale in Antonio lopez,260000,2955,88,3,1,2,1,exterior,1,Second hand/good condition,Orientation South,yes,good,good,good,0
29,2,Comillas,https://www.idealista.com/inmueble/96987011/,Piso en venta en paseo de Santa María de la Cabeza,262000,3275,80,2,2,1,1,exterior,1,Second hand/good condition,"Orientation South, West",yes,good,good,good,0
30,8,Comillas,https://www.idealista.com/en/inmueble/97722249/,"Duplex for sale in calle Parador del Sol, 28",277000,3645,76,2,1,2,1,exterior,1,Second hand/good condition,Orientation South,yes,good,good,good,0
31,18,Comillas,https://www.idealista.com/en/inmueble/96989151/,Flat / apartment for sale in calle de Antonio de Leyva NN,280000,2947,95,3,6,1,1,exterior,1,Second hand/good condition,"Orientation South, West",yes,good,good,good,0
32,28,Comillas,https://www.idealista.com/en/inmueble/97768067/,"Flat / apartment for sale in Urb. ZONA ANTONIO LÓPEZ, Comillas",285000,2850,100,3,2,2,1,exterior,1,Second hand/good condition,Orientation East,yes,good,low,average,0
33,27,Comillas,https://www.idealista.com/en/inmueble/97137048/,Flat / apartment for sale in avenida del Manzanares,285030,3203,89,3,3,1,0,exterior,1,Second hand/good condition,Not defined,Not defined,average,average,average,0
34,11,Comillas,https://www.idealista.com/en/inmueble/90299020/,Flat / apartment for sale in calle Fernando Díaz de Mendoza,314000,3019,104,4,2,1,1,exterior,0,Second hand/good condition,Not defined,Not defined,average,average,average,0
35,7,Comillas,https://www.idealista.com/en/inmueble/97722250/,"Duplex for sale in calle de Eduardo Marquina, 34",318000,3573,89,3,1,2,1,exterior,1,Second hand/good condition,Orientation South,yes,good,good,good,0
36,33,Comillas,https://www.idealista.com/en/inmueble/97451465/,"Flat / apartment for sale in calle del Marqués de Jura Real, 4",320000,3404,94,3,6,1,1,exterior,1,Second hand/good condition,"Orientation East, West",yes,average,average,average,0
